Player,Year,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Uncontested Possessions,Contested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Kicks G,Marks G,Hand Balls G,Disp G,Goals G,Behinds G,Hit Outs G,Tackles G,Rebounds G,Inside 50 G,Clearances G,Clangers G,Frees For G,Frees Against G,Uncontested Possessions G,Contested Possessions G,Contested Marks G,Marks Inside 50 G,One Percenters G,Bounces G,Brownlow
Jesse Hogan,2016,14,6,3,17,3,0,0,3,1,6,0,4,3,0,8,10,1,1,2,1,0.5416666666666666,0.6000000000000001,0.0625,0.46428571428571425,1.0,0.0,0.0,0.5,0.1,0.75,0.0,0.5,0.6000000000000001,0.0,0.5333333333333333,0.411764705882353,0.25,0.2,0.2222222222222222,0.25,0
Neville Jetta,2016,7,4,8,15,0,0,0,5,0,0,0,1,1,0,4,11,0,0,3,0,0.24999999999999997,0.4,0.375,0.39285714285714285,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.125,0.2,0.0,0.26666666666666666,0.4705882352941177,0.0,0.0,0.3333333333333333,0.0,0
Matt Jones,2016,7,6,14,21,0,0,0,3,1,1,1,0,1,0,8,13,0,0,1,0,0.24999999999999997,0.6000000000000001,0.75,0.6071428571428572,0.0,0.0,0.0,0.5,0.1,0.125,0.14285714285714285,0.0,0.2,0.0,0.5333333333333333,0.588235294117647,0.0,0.0,0.1111111111111111,0.0,0
Nathan Jones,2016,14,3,13,27,0,1,0,4,1,8,3,3,0,3,6,19,1,0,0,0,0.5416666666666666,0.30000000000000004,0.6875,0.8214285714285714,0.0,0.3333333333333333,0.0,0.6666666666666666,0.1,1.0,0.42857142857142855,0.375,0.0,0.5,0.4,0.9411764705882353,0.25,0.0,0.0,0.0,0
Ben Kennedy,2016,12,4,9,21,1,1,0,1,1,3,2,0,0,0,8,13,0,1,4,2,0.4583333333333333,0.4,0.4375,0.6071428571428572,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.1,0.375,0.2857142857142857,0.0,0.0,0.0,0.5333333333333333,0.588235294117647,0.0,0.2,0.4444444444444444,0.5,0
Dean Kent,2016,11,5,2,13,1,0,0,3,0,4,0,3,1,1,2,12,0,0,0,2,0.41666666666666663,0.5,0.0,0.3214285714285714,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,0.375,0.2,0.16666666666666666,0.13333333333333333,0.5294117647058822,0.0,0.0,0.0,0.5,0
Oscar McDonald,2016,3,3,8,11,0,0,0,0,2,1,0,2,0,1,4,7,1,0,3,0,0.08333333333333334,0.30000000000000004,0.375,0.25,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.25,0.0,0.16666666666666666,0.26666666666666666,0.23529411764705882,0.25,0.0,0.3333333333333333,0.0,0
Tom McDonald,2016,17,8,5,22,0,0,0,0,5,1,0,1,1,0,6,13,2,0,6,2,0.6666666666666666,0.8,0.1875,0.6428571428571428,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.125,0.2,0.0,0.4,0.588235294117647,0.5,0.0,0.6666666666666666,0.5,0
Clayton Oliver,2016,5,2,17,22,0,0,0,2,1,1,7,3,1,1,15,7,1,0,2,0,0.16666666666666666,0.2,0.9375,0.6428571428571428,0.0,0.0,0.0,0.3333333333333333,0.1,0.125,1.0,0.375,0.2,0.16666666666666666,1.0,0.23529411764705882,0.25,0.0,0.2222222222222222,0.0,2
Cameron Pedersen,2016,8,4,4,12,0,0,1,4,2,2,1,3,1,2,6,7,1,2,1,0,0.29166666666666663,0.4,0.125,0.2857142857142857,0.0,0.0,0.038461538461538464,0.6666666666666666,0.2,0.25,0.14285714285714285,0.375,0.2,0.3333333333333333,0.4,0.23529411764705882,0.25,0.4,0.1111111111111111,0.0,0
Christian Salem,2016,13,5,2,15,0,0,0,2,4,2,1,2,1,0,6,7,1,0,1,0,0.49999999999999994,0.5,0.0,0.39285714285714285,0.0,0.0,0.0,0.3333333333333333,0.4,0.25,0.14285714285714285,0.25,0.2,0.0,0.4,0.23529411764705882,0.25,0.0,0.1111111111111111,0.0,0
Dom Tyson,2016,8,5,9,17,0,0,0,2,4,3,3,3,0,0,7,10,1,0,0,0,0.29166666666666663,0.5,0.4375,0.46428571428571425,0.0,0.0,0.0,0.3333333333333333,0.4,0.375,0.42857142857142855,0.375,0.0,0.0,0.4666666666666667,0.411764705882353,0.25,0.0,0.0,0.0,0
